r,g,b,h,s,v
80,173,143,161,54,68
119,164,109,109,34,64
246,47,91,347,81,96
190,145,79,36,58,75
20,131,15,117,89,51
138,198,83,91,58,78
168,63,253,273,75,99
171,42,103,332,75,67
127,174,5,77,97,68
180,242,55,80,77,95
203,125,165,329,38,80
161,199,126,91,37,78
221,65,190,312,71,87
23,166,187,188,88,73
41,254,47,122,84,100
70,197,49,111,75,77
27,16,74,251,78,29
88,47,154,263,69,60
116,251,117,120,54,98
66,40,78,281,49,31
90,31,132,275,77,52
149,232,228,177,36,91
148,82,176,282,53,69
122,253,157,136,52,99
158,71,103,338,55,62
200,142,229,280,38,90
130,101,111,339,22,51
152,236,192,149,36,93
177,175,84,59,53,69
24,15,83,248,82,33
89,162,154,173,45,64
43,51,166,236,74,65
164,110,215,271,49,84
215,208,175,50,19,84
86,81,103,254,21,40
103,34,170,270,80,67
201,38,219,294,83,86
215,200,109,52,49,84
36,2,118,258,98,46
153,45,61,351,71,60
133,222,173,147,40,87
105,6,240,265,98,94
206,67,235,290,71,92
69,116,211,220,67,83
111,175,254,213,56,100
26,150,241,205,89,95
30,147,79,145,80,58
238,202,168,29,29,93
47,22,181,249,88,71
37,26,12,34,68,15
234,253,177,75,30,99
55,146,191,200,71,75
116,163,215,212,46,84
147,213,4,79,98,84
79,203,159,159,61,80
2,22,191,234,99,75
2,215,188,172,99,84
165,75,116,333,55,65
138,216,54,89,75,85
40,59,132,228,70,52
185,97,18,28,90,73
78,19,70,308,76,31
31,218,28,119,87,85
204,123,236,283,48,93
143,107,196,264,45,77
38,16,41,293,61,16
133,187,8,78,96,73
8,5,111,242,95,44
31,65,164,225,81,64
211,103,112,355,51,83
49,241,22,113,91,95
247,197,99,40,60,97
244,249,149,63,40,98
242,83,102,353,66,95
29,113,78,155,74,44
165,226,22,78,90,89
166,126,100,24,40,65
69,89,184,230,63,72
23,16,90,246,82,35
108,104,76,52,30,42
93,72,221,248,67,87
216,123,94,14,56,85
188,64,73,356,66,74
215,253,210,113,17,99
89,162,40,96,75,64
209,44,237,291,81,93
171,68,105,338,60,67
128,96,62,31,52,50
205,171,15,49,93,80
223,221,73,59,67,87
147,204,137,111,33,80
117,248,67,103,73,97
148,233,55,89,76,91
178,126,205,279,39,80
148,173,107,83,38,68
17,184,82,143,91,72
210,87,109,349,59,82
76,150,9,91,94,59
16,145,91,155,89,57
246,218,91,49,63,96
75,125,254,223,70,100
250,80,205,316,68,98
192,187,5,58,97,75
109,186,178,174,41,73
45,112,144,199,69,56
176,47,62,353,73,69
216,122,218,299,44,85
107,226,39,98,83,89
135,141,155,222,13,61
223,128,242,290,47,95
148,49,89,336,67,58
118,86,60,27,49,46
207,151,32,41,85,81
78,186,110,138,58,73
154,148,166,260,11,65
11,124,60,146,91,49
13,98,133,197,90,52
40,130,83,149,69,51
111,116,148,232,25,58
49,241,216,172,80,95
47,111,242,220,81,95
58,218,115,141,73,85
154,58,22,16,86,60
189,239,43,75,82,94
43,66,219,232,80,86
31,34,204,239,85,80
150,122,78,37,48,59
101,116,253,234,60,99
60,38,66,287,42,26
201,219,137,73,37,86
149,42,183,286,77,72
89,185,61,106,67,73
178,7,177,300,96,70
227,27,131,329,88,89
191,210,119,73,43,82
228,44,20,7,91,89
28,222,176,166,87,87
86,104,24,73,77,41
125,79,60,18,52,49
162,192,168,132,16,75
77,200,63,114,69,78
147,127,23,50,84,58
134,177,139,127,24,69
26,7,43,272,84,17
117,156,248,222,53,97
17,58,63,187,73,25
26,123,183,203,86,72
29,234,35,122,88,92
205,202,75,59,63,80
119,254,127,124,53,100
18,47,19,122,62,18
214,103,152,334,52,84
63,173,134,159,64,68
33,131,166,196,80,65
157,181,206,211,24,81
157,101,86,13,45,62
18,35,68,220,74,27
202,10,110,329,95,79
139,19,5,6,96,55
99,34,245,258,86,96
214,22,240,293,91,94
17,159,3,115,98,62
159,224,9,78,96,88
190,163,236,262,31,93
17,167,7,116,96,65
234,140,156,350,40,92
58,33,191,249,83,75
69,109,15,86,86,43
121,125,178,236,32,70
157,105,34,35,78,62
220,139,69,28,69,86
31,234,135,151,87,92
16,113,70,153,86,44
246,155,98,23,60,96
23,169,87,146,86,66
33,30,146,242,79,57
238,93,8,22,97,93
135,58,228,267,75,89
168,58,160,304,65,66
84,237,162,151,65,93
142,245,173,138,42,96
50,103,67,139,51,40
72,156,226,207,68,89
36,191,225,191,84,88
233,154,5,39,98,91
199,156,168,343,22,78
179,37,178,300,79,70
0,195,35,131,100,76
83,41,223,254,82,87
135,115,222,251,48,87
31,64,19,104,70,25
37,95,10,101,89,37
27,4,115,252,97,45
185,214,172,101,20,84
136,66,1,29,99,53
113,231,167,147,51,91
67,120,215,219,69,84
78,96,121,215,36,47
168,253,47,85,81,99
131,211,254,201,48,100
92,11,68,318,88,36
239,214,55,52,77,94
43,13,184,251,93,72
141,205,138,117,33,80
56,85,76,161,34,33
116,16,25,355,86,45
107,50,249,257,80,98
119,22,82,323,82,47
141,93,221,263,58,87
137,218,11,83,95,85
193,188,112,56,42,76
157,16,142,306,90,62
207,120,38,29,82,81
40,180,119,154,78,71
19,82,218,221,91,85
233,205,230,306,12,91
123,11,179,280,94,70
187,7,110,326,96,73
229,111,170,330,52,90
151,236,169,133,36,93
223,147,155,354,34,87
252,89,33,15,87,99
254,35,87,346,86,100
121,98,142,271,31,56
162,57,84,345,65,64
119,139,86,83,38,55
235,189,237,297,20,93
22,18,198,241,91,78
30,187,210,188,86,82
70,243,230,175,71,95
111,228,213,172,51,89
151,48,1,19,99,59
25,103,230,217,89,90
7,116,56,147,94,45
245,107,103,2,58,96
188,16,195,298,92,76
206,24,177,310,88,81
124,93,55,33,56,49
44,99,63,141,56,39
159,210,54,80,74,82
61,9,229,254,96,90
246,30,231,304,88,96
52,62,240,237,78,94
12,214,225,183,95,88
101,240,100,120,58,94
213,184,254,265,28,100
200,214,37,65,83,84
136,251,85,102,66,98
254,44,86,348,83,100
239,30,113,336,87,94
251,80,254,299,69,100
189,208,165,87,21,82
89,133,50,92,62,52
41,33,171,243,81,67
106,239,79,110,67,94
34,78,5,96,94,31
26,207,23,119,89,81
30,66,251,230,88,98
174,65,215,284,70,84
133,121,128,325,9,52
210,99,105,357,53,82
240,208,48,50,80,94
19,211,235,187,92,92
209,227,222,163,8,89
156,121,157,298,23,62
0,50,150,220,100,59
192,62,193,300,68,76
25,209,37,124,88,82
112,158,73,92,54,62
22,33,158,235,86,62
20,251,48,127,92,98
3,195,10,122,98,76
150,193,226,206,34,89
235,168,165,3,30,92
58,238,151,151,76,93
5,61,60,179,92,24
216,4,94,335,98,85
3,196,51,135,98,77
75,142,228,214,67,89
246,16,143,327,93,96
42,174,53,125,76,68
158,100,177,285,44,69
226,100,140,341,56,89
182,4,65,339,98,71
202,138,42,36,79,79
44,29,62,267,53,24
49,238,134,147,79,93
156,79,226,271,65,89
73,154,41,103,73,60
83,213,201,174,61,84
250,21,176,319,92,98
119,50,253,260,80,99
43,213,200,175,80,84
38,57,103,222,63,40
226,18,1,5,100,89
19,29,150,235,87,59
167,234,245,188,32,96
142,32,193,281,83,76
10,14,238,239,96,93
56,24,219,250,89,86
234,8,65,345,97,92
252,248,122,58,52,99
181,102,138,333,44,71
153,38,131,311,75,60
215,96,209,303,55,84
181,202,172,102,15,79
87,142,250,220,65,98
250,150,30,33,88,98
125,144,191,223,35,75
75,97,126,214,40,49
80,247,217,169,68,97
217,233,16,64,93,91
69,68,140,241,51,55
208,132,172,328,37,82
93,96,70,67,27,38
210,158,236,280,33,93
250,47,130,335,81,98
9,33,54,208,83,21
205,206,61,60,70,81
253,219,217,3,14,99
13,169,177,183,93,69
37,132,214,208,83,84
167,63,1,22,99,65
132,152,244,229,46,96
40,115,167,205,76,65
237,159,75,31,68,93
100,87,5,52,95,39
211,82,176,316,61,83
56,130,75,135,57,51
133,217,138,124,39,85
164,114,17,40,90,64
127,51,145,289,65,57
65,168,234,203,72,92
233,166,105,29,55,91
80,195,65,113,67,76
35,248,79,132,86,97
121,218,46,94,79,85
119,56,81,336,53,47
103,141,35,82,75,55
96,72,204,251,65,80
90,221,221,180,59,87
224,58,228,299,75,89
164,95,14,32,91,64
137,94,13,39,91,54
228,98,94,2,59,89
253,111,135,350,56,99
20,65,240,228,92,94
247,82,240,303,67,97
109,144,110,122,24,56
2,141,179,193,99,70
213,3,254,290,99,100
206,158,157,1,24,81
209,209,137,60,34,82
87,206,48,105,77,81
12,14,159,239,92,62
31,42,28,107,33,16
226,2,148,321,99,89
98,28,244,259,89,96
219,94,247,289,62,97
20,51,115,220,83,45
10,219,243,186,96,95
202,120,54,27,73,79
39,35,65,248,46,25
14,56,17,124,75,22
76,234,47,111,80,92
70,126,143,194,51,56
82,235,67,115,71,92
73,20,235,255,91,92
101,100,75,58,26,40
93,24,203,263,88,80
120,139,19,70,86,55
21,215,151,160,90,84
73,61,39,39,47,29
113,138,18,73,87,54
221,100,174,323,55,87
77,136,210,213,63,82
25,153,167,186,85,65
95,95,24,60,75,37
94,71,109,276,35,43
227,204,118,47,48,89
101,95,193,244,51,76
6,249,19,123,98,98
50,148,188,197,73,74
113,247,215,166,54,97
200,126,54,30,73,78
3,22,59,220,95,23
234,55,72,354,76,92
164,216,141,102,35,85
5,26,133,230,96,52
50,119,82,148,58,47
201,220,72,68,67,86
70,1,212,260,100,83
202,55,147,322,73,79
235,35,173,319,85,92
87,254,47,108,81,100
88,252,199,161,65,99
67,26,107,270,76,42
175,57,125,325,67,69
233,104,71,12,70,91
213,235,192,91,18,92
203,90,232,288,61,91
111,29,56,340,74,44
5,244,144,155,98,96
76,230,238,183,68,93
141,180,124,102,31,71
24,183,176,177,87,72
222,46,120,335,79,87
218,7,177,312,97,85
158,77,97,345,51,62
26,148,5,111,97,58
120,210,103,110,51,82
34,237,48,124,86,93
14,107,151,199,91,59
85,121,93,133,30,47
217,229,68,64,70,90
64,1,225,257,100,88
21,76,69,172,72,30
132,60,83,341,55,52
140,178,164,158,21,70
95,140,237,221,60,93
49,97,78,156,49,38
161,237,149,112,37,93
142,136,251,243,46,98
189,99,82,10,57,74
20,4,31,276,87,12
218,86,245,290,65,96
216,201,202,356,7,85
194,109,26,30,87,76
148,79,136,310,47,58
82,41,171,259,76,67
35,6,150,252,96,59
12,121,0,114,100,47
42,46,181,238,77,71
53,142,10,100,93,56
130,201,82,96,59,79
196,247,171,100,31,97
162,158,126,53,22,64
2,190,7,122,99,75
4,113,155,197,97,61
194,164,110,39,43,76
66,113,207,220,68,81
138,23,46,348,83,54
81,47,173,256,73,68
117,132,235,232,50,92
58,186,99,139,69,73
242,190,232,312,21,95
121,128,142,220,15,56
12,27,79,227,85,31
63,50,160,247,69,63
72,8,115,276,93,45
153,55,64,354,64,60
134,181,50,82,72,71
154,33,18,7,88,60
186,251,185,119,26,98
253,129,155,347,49,99
253,101,219,313,60,99
42,119,180,207,77,71
194,200,229,230,15,90
101,56,179,262,69,70
108,92,235,247,61,92
10,209,49,132,95,82
234,105,228,303,55,92
230,101,16,24,93,90
69,161,25,101,84,63
184,191,186,137,4,75
33,68,157,223,79,62
153,12,233,278,95,91
134,51,249,265,80,98
31,77,173,221,82,68
136,128,47,55,65,53
249,171,223,320,31,98
90,119,31,80,74,47
140,186,31,78,83,73
141,100,204,264,51,80
222,70,170,321,68,87
232,184,220,315,21,91
62,128,6,92,95,50
136,175,156,151,22,69
148,172,100,80,42,67
62,66,198,238,69,78
33,139,167,193,80,65
56,123,104,163,54,48
21,208,70,136,90,82
171,116,149,324,32,67
3,59,89,201,97,35
101,116,229,233,56,90
131,247,161,136,47,97
94,169,249,211,62,98
162,146,139,18,14,64
226,80,163,326,65,89
82,112,28,81,75,44
98,187,228,199,57,89
102,39,2,22,98,40
167,132,241,259,45,95
5,21,170,234,97,67
119,61,66,355,49,47
49,91,203,224,76,80
188,32,123,325,83,74
242,2,51,348,99,95
198,248,102,81,59,97
65,199,110,140,67,78
224,166,210,314,26,88
5,188,52,135,97,74
127,30,2,13,98,50
249,192,41,44,84,98
193,208,155,77,25,82
130,91,100,346,30,51
243,67,185,320,72,95
235,109,223,306,54,92
171,96,65,18,62,67
71,164,6,95,96,64
170,160,152,27,11,67
8,179,176,179,96,70
10,223,35,127,96,87
96,89,83,28,14,38
101,213,218,183,54,85
182,134,52,38,71,71
2,183,26,128,99,72
76,48,68,317,37,30
102,28,71,325,73,40
24,142,95,156,83,56
151,162,247,233,39,97
221,237,206,91,13,93
13,104,159,203,92,62
80,239,219,172,67,94
205,82,241,286,66,95
176,152,100,41,43,69
254,71,171,327,72,100
134,109,64,39,52,53
75,241,164,152,69,95
78,128,156,202,50,61
77,151,222,209,65,87
149,137,2,55,99,58
39,190,249,197,84,98
124,129,9,62,93,51
103,62,231,255,73,91
52,229,165,158,77,90
125,244,145,130,49,96
10,15,254,239,96,100
247,73,91,354,70,97
19,30,194,236,90,76
228,254,71,69,72,100
49,179,41,117,77,70
71,240,134,142,70,94
146,68,132,311,53,57
109,133,38,75,71,52
22,241,78,135,91,95
191,4,160,310,98,75
251,65,18,12,93,98
71,100,85,149,29,39
35,252,214,169,86,99
129,11,83,323,91,51
208,57,4,16,98,82
35,1,188,251,99,74
131,8,210,277,96,82
200,221,183,93,17,87
62,22,196,254,89,77
249,233,21,56,92,98
217,176,98,39,55,85
6,62,52,169,90,24
60,36,71,281,49,28
1,223,208,176,100,87
15,107,100,175,86,42
5,6,20,236,75,8
90,21,32,350,77,35
19,143,96,157,87,56
254,154,32,33,87,100
230,56,233,299,76,91
177,58,39,8,78,69
21,253,13,118,95,99
201,207,84,63,59,81
139,124,98,38,29,55
145,176,85,80,52,69
43,82,229,227,81,90
205,99,167,322,52,80
172,3,212,289,99,83
8,86,140,205,94,55
185,90,21,25,89,73
62,39,4,36,94,24
84,42,97,286,57,38
27,7,128,250,95,50
72,192,54,112,72,75
199,159,194,308,20,78
113,54,171,270,68,67
187,82,166,312,56,73
91,18,192,265,91,75
42,97,228,222,82,89
184,208,150,85,28,82
6,226,181,168,97,89
225,104,94,5,58,88
50,92,68,146,46,36
113,181,248,210,54,97
192,53,169,310,72,75
133,203,15,82,93,80
180,122,49,33,73,71
153,2,174,293,99,68
146,100,57,29,61,57
206,243,210,126,15,95
152,149,242,242,38,95
241,12,13,360,95,95
164,159,44,58,73,64
198,153,127,22,36,78
114,56,216,262,74,85
176,254,42,82,83,100
210,204,179,48,15,82
56,89,248,230,77,97
237,17,53,350,93,93
44,174,13,108,93,68
152,96,118,336,37,60
23,153,171,187,87,67
80,68,212,245,68,83
191,121,76,23,60,75
162,171,230,232,30,90
172,103,154,316,40,67
93,84,234,244,64,92
65,244,141,145,73,96
5,92,52,152,95,36
225,92,43,16,81,88
41,41,82,240,50,32
212,9,217,299,96,85
106,207,206,179,49,81
153,196,24,75,88,77
100,148,155,188,35,61
133,48,141,295,66,55
6,58,126,214,95,49
229,17,157,320,93,90
58,221,8,106,96,87
98,46,226,257,80,89
92,188,69,108,63,74
108,40,59,343,63,42
251,189,112,33,55,98
94,124,51,85,59,49
240,77,101,351,68,94
208,207,184,57,12,82
150,67,29,19,81,59
70,253,224,170,72,99
40,112,148,200,73,58
226,120,53,23,77,89
208,68,73,358,67,82
90,105,209,232,57,82
131,110,123,323,16,51
0,146,210,198,100,82
232,202,251,277,20,98
183,177,191,266,7,75
96,56,170,261,67,67
17,23,220,238,92,86
105,244,23,98,91,96
149,57,194,280,71,76
217,177,212,307,18,85
45,142,53,125,68,56
186,155,13,49,93,73
174,70,178,298,61,70
17,69,206,223,92,81
39,127,63,136,69,50
58,193,208,186,72,82
62,197,32,109,84,77
159,150,192,253,22,75
114,57,19,24,83,45
164,200,186,157,18,78
85,127,235,223,64,92
252,142,47,28,81,99
176,243,202,143,28,95
219,237,54,66,77,93
46,222,94,136,79,87
208,82,55,11,74,82
229,167,164,3,28,90
137,240,96,103,60,94
56,205,218,185,74,85
175,6,203,291,97,80
159,185,72,74,61,73
233,111,87,10,63,91
124,20,180,279,89,71
91,92,63,62,32,36
7,53,89,206,92,35
220,247,166,80,33,97
97,176,38,94,78,69
127,164,7,74,96,64
81,94,11,69,88,37
224,165,89,34,60,88
169,202,247,215,32,97
179,209,184,130,14,82
148,148,71,60,52,58
79,115,127,195,38,50
94,60,202,254,70,79
192,8,24,355,96,75
66,102,184,222,64,72
114,19,223,268,91,87
93,160,17,88,89,63
15,13,49,243,73,19
59,51,175,244,71,69
80,111,244,229,67,96
158,183,84,75,54,72
55,19,198,252,90,78
226,50,115,338,78,89
162,47,193,287,76,76
124,1,75,324,99,49
206,134,78,26,62,81
104,41,144,277,72,56
22,68,13,110,81,27
151,128,76,42,50,59
208,80,13,21,94,82
54,231,254,187,79,100
30,90,220,221,86,86
243,60,118,341,75,95
135,100,129,310,26,53
244,221,125,48,49,96
188,120,213,284,44,84
16,31,224,236,93,88
211,117,75,19,64,83
26,241,29,121,89,95
74,212,71,119,67,83
122,6,96,313,95,48
188,22,76,340,88,74
208,200,156,51,25,82
22,215,206,177,90,84
143,153,214,232,33,84
242,232,71,56,71,95
249,237,92,55,63,98
231,105,218,306,55,91
3,129,137,184,98,54
176,227,129,91,43,89
200,109,195,303,46,78
36,21,99,252,79,39
13,114,201,208,94,79
212,225,184,79,18,88
146,117,118,358,20,57
54,252,137,145,79,99
142,212,14,81,93,83
101,151,42,88,72,59
157,168,92,69,45,66
240,179,207,332,25,94
151,36,228,276,84,89
174,117,4,40,98,68
98,103,215,237,54,84
160,67,111,332,58,63
85,101,122,214,30,48
153,1,71,332,99,60
32,27,219,242,88,86
46,65,179,231,74,70
203,176,246,263,28,96
56,125,20,99,84,49
133,172,145,138,23,67
203,28,187,305,86,80
73,201,128,146,64,79
10,18,179,237,94,70
67,68,145,239,54,57
58,141,99,150,59,55
171,228,174,123,25,89
132,127,84,54,36,52
125,183,92,98,50,72
83,217,239,188,65,94
44,117,160,202,73,63
38,171,80,139,78,67
243,219,128,47,47,95
67,108,147,209,54,58
15,79,79,180,81,31
173,70,115,334,60,68
99,236,232,178,58,93
249,80,43,11,83,98
143,152,18,64,88,60
16,247,158,157,94,97
95,68,36,33,62,37
118,229,53,98,77,90
129,173,11,76,94,68
29,144,252,209,88,99
39,105,134,198,71,53
189,108,62,22,67,74
247,129,16,29,94,97
107,89,75,26,30,42
238,246,162,66,34,96
83,66,102,268,35,40
61,150,169,191,64,66
246,17,171,320,93,96
62,114,4,88,96,45
94,231,56,107,76,91
216,101,57,17,74,85
22,141,45,132,84,55
178,73,213,285,66,84
100,73,99,302,27,39
200,119,28,32,86,78
176,61,122,328,65,69
201,119,11,34,95,79
249,176,197,343,29,98
146,254,236,170,43,100
221,139,106,17,52,87
18,68,0,104,100,27
249,170,246,302,32,98
62,195,117,145,68,76
173,88,5,30,97,68
70,40,8,31,89,27
143,83,165,284,50,65
83,170,62,108,64,67
69,211,52,114,75,83
171,142,224,261,37,88
215,132,93,19,57,84
133,92,72,20,46,52
180,8,195,295,96,76
6,206,78,142,97,81
9,93,149,204,94,58
199,125,134,353,37,78
129,121,34,55,74,51
173,164,150,37,13,68
172,73,125,328,58,67
64,46,124,254,63,49
26,48,153,230,83,60
254,120,182,332,53,100
212,144,250,278,42,98
194,126,66,28,66,76
159,81,136,318,49,62
33,92,21,110,77,36
15,138,37,131,89,54
67,235,126,141,71,92
57,216,34,112,84,85
66,130,27,97,79,51
202,45,171,312,78,79
26,161,124,164,84,63
217,165,38,43,82,85
181,158,136,29,25,71
34,130,189,203,82,74
164,153,123,44,25,64
18,143,15,119,90,56
7,111,233,212,97,91
163,120,232,263,48,91
198,5,73,339,97,78
17,192,118,155,91,75
4,80,249,221,98,98
18,54,12,111,78,21
67,19,76,291,75,30
0,238,112,148,100,93
223,224,201,63,10,88
187,220,254,210,26,100
247,202,81,44,67,97
169,162,119,52,30,66
119,147,136,156,19,58
238,103,64,13,73,93
189,254,100,85,61,100
48,215,202,175,78,84
250,55,25,8,90,98
99,155,78,104,50,61
41,17,175,249,90,69
192,70,81,355,64,75
233,29,136,329,88,91
6,249,144,154,98,98
75,193,251,200,70,98
186,82,198,294,59,78
102,106,27,63,75,42
68,147,157,187,57,62
76,169,228,203,67,89
5,91,14,126,95,36
151,250,243,176,40,98
198,93,52,17,74,78
201,59,182,308,71,79
235,222,19,56,92,92
217,32,65,349,85,85
201,82,76,3,62,79
182,166,29,54,84,71
127,120,130,282,8,51
225,186,63,46,72,88
41,20,215,246,91,84
232,101,177,325,56,91
11,246,140,153,96,96
88,38,219,257,83,86
182,30,240,283,88,94
7,197,72,141,96,77
54,137,13,100,91,54
168,234,86,87,63,92
163,18,254,277,93,100
128,71,142,288,50,56
168,112,188,284,40,74
177,162,14,54,92,69
229,144,4,37,98,90
162,219,251,202,35,98
215,163,187,332,24,84
68,174,82,128,61,68
203,72,75,359,65,80
20,52,203,230,90,80
14,178,85,146,92,70
71,203,148,155,65,80
238,199,237,302,16,93
127,60,76,346,53,50
136,137,190,239,28,75
110,11,92,311,90,43
96,241,164,148,60,95
238,245,166,65,32,96
126,68,113,313,46,49
61,201,56,118,72,79
73,217,114,137,66,85
194,139,210,286,34,82
146,187,164,146,22,73
49,239,181,162,79,94
133,43,159,287,73,62
108,100,104,330,7,42
114,91,13,46,89,45
235,137,36,30,85,92
205,119,158,333,42,80
212,254,100,76,61,100
200,78,81,359,61,78
144,182,65,79,64,71
225,144,7,38,97,88
83,220,97,126,62,86
18,156,172,186,90,67
145,150,129,74,14,59
40,222,120,146,82,87
97,75,144,259,48,56
209,146,146,0,30,82
33,148,36,122,78,58
243,139,136,2,44,95
112,159,196,206,43,77
202,105,183,312,48,79
26,71,216,226,88,85
198,242,20,72,92,95
164,121,162,303,26,64
5,235,179,165,98,92
90,165,23,92,86,65
70,70,141,240,50,55
81,30,124,273,76,49
186,155,49,46,74,73
94,8,84,307,91,37
201,33,30,1,85,79
153,217,188,153,29,85
170,81,98,349,52,67
231,169,195,335,27,91
41,20,31,329,51,16
11,147,123,169,93,58
186,54,233,284,77,91
235,52,241,298,78,95
61,241,76,125,75,95
131,82,47,25,64,51
206,4,253,289,98,99
126,48,88,329,62,49
200,230,40,69,83,90
106,189,196,185,46,77
15,15,110,240,86,43
150,98,68,22,55,59
64,74,99,223,35,39
46,166,45,120,73,65
202,212,179,78,16,83
127,169,186,197,32,73
18,14,5,42,72,7
115,250,130,127,54,98
167,206,24,73,88,81
29,117,135,190,79,53
85,26,185,262,86,73
4,20,129,232,97,51
207,181,105,45,49,81
249,218,221,354,12,98
41,131,127,177,69,51
60,82,29,85,65,32
18,19,71,239,75,28
194,161,201,290,20,79
202,88,129,338,56,79
128,230,38,92,83,90
156,44,214,280,79,84
192,63,27,13,86,75
128,215,115,112,47,84
139,155,133,104,14,61
170,242,44,82,82,95
210,200,64,56,70,82
139,122,1,53,99,55
170,182,138,76,24,71
198,252,194,116,23,99
158,191,11,71,94,75
117,59,55,4,53,46
177,247,115,92,53,97
115,185,113,118,39,73
48,58,171,235,72,67
20,161,93,151,88,63
99,93,17,56,83,39
200,228,197,114,14,89
171,155,100,46,42,67
171,166,63,57,63,67
122,249,157,137,51,98
151,199,81,84,59,78
47,170,132,161,72,67
183,20,238,285,92,93
153,244,82,94,66,96
24,118,225,212,89,88
145,231,106,101,54,91
121,102,218,250,53,85
234,175,37,42,84,92
44,236,168,159,81,93
224,162,178,345,28,88
170,8,236,283,97,93
210,206,216,264,5,85
151,5,210,283,98,82
18,10,171,243,94,67
162,14,226,282,94,89
196,122,89,19,55,77
223,53,140,329,76,87
71,101,14,81,86,40
88,155,47,97,70,61
16,119,9,116,92,47
8,118,117,179,93,46
66,91,76,144,27,36
49,97,82,161,49,38
216,244,232,154,11,96
88,50,248,252,80,97
47,29,100,255,71,39
132,166,22,74,87,65
168,140,173,291,19,68
9,222,206,175,96,87
62,170,243,204,74,95
68,179,72,122,62,70
72,215,86,126,67,84
98,46,249,255,82,98
190,241,143,91,41,95
178,194,101,70,48,76
196,81,250,281,68,98
148,252,192,145,41,99
53,86,214,228,75,84
179,99,129,338,45,70
24,222,74,135,89,87
152,64,119,323,58,60
145,19,93,325,87,57
134,197,192,175,32,77
253,113,12,25,95,99
167,221,52,79,76,87
190,132,192,298,31,75
125,191,117,114,39,75
213,10,246,292,96,96
45,78,212,228,79,83
20,115,103,172,83,45
102,154,225,215,55,88
58,137,194,205,70,76
29,73,22,112,70,29
248,241,175,54,29,97
215,18,83,340,92,84
13,23,143,235,91,56
121,46,84,330,62,47
143,241,120,109,50,95
176,92,211,282,56,83
10,121,147,191,93,58
